Rank,Release Group,Worldwide,Domestic ($),Domestic %,Foriegn ($),Foriegn %
334,Seberg,"$587,000","$434,702",74.1%,"$152,298",25.9%
335,The Painted Bird,"$577,566",-,-,"$577,566",100%
336,Light of My Life,"$573,790","$20,056",3.5%,"$553,734",96.5%
337,My Fair Lady 2019 Re-release,"$560,711","$560,711",100%,-,-
338,Fiddler: A Miracle of Miracles,"$558,816","$549,386",98.3%,"$9,430",1.7%
339,"DCI 2019: Big, Loud & Live 16","$546,060","$546,060",100%,-,-
340,The Day Shall Come,"$543,993","$26,972",5%,"$517,021",95%
341,Grateful Dead Meet-Up 2019,"$537,153","$537,153",100%,-,-
342,CatVideoFest,"$536,566","$470,923",87.8%,"$65,643",12.2%
343,Margaret Atwood: Live in Cinemas,"$529,285","$93,690",17.7%,"$435,595",82.3%
344,The Audience 2019 Re-release,"$523,432","$106,529",20.4%,"$416,903",79.6%
345,Bolshoi Ballet: Carmen Suite/Petrushka,"$522,179","$207,523",39.7%,"$314,656",60.3%
346,The Spy Behind Home Plate,"$519,525","$519,525",100%,-,-
347,Wild Nights with Emily,"$519,487","$519,487",100%,-,-
348,Saving Private Ryan 2019 Re-release,"$508,694","$508,694",100%,-,-
349,Synonyms,"$501,223","$206,003",41.1%,"$295,220",58.9%
350,Whisper of the Heart 2019 Re-release,"$498,156","$498,156",100%,-,-
351,Nausicaä of the Valley of the Wind 2019 Re-release,"$495,770","$495,770",100%,-,-
352,Monty Python's Life of Brian 2019 Re-release,"$493,971","$161,507",32.7%,"$332,464",67.3%
353,The Russian Five,"$485,049","$485,049",100%,-,-
354,Lawrence of Arabia 2019 Re-release,"$482,281","$482,281",100%,-,-
355,Liam Gallagher: As It Was,"$477,009",-,-,"$477,009",100%
356,Hail Satan?,"$467,361","$424,284",90.8%,"$43,077",9.2%
357,Christmas Jars,"$459,462","$459,462",100%,-,-
358,Cruel Intentions 2019 Re-release,"$445,218","$445,218",100%,-,-
359,What We Left Behind: Star Trek DS9,"$434,437","$382,457",88%,"$51,980",12%
360,Killing Sarai,"$425,332","$425,332",100%,-,-
361,Ben-Hur 2019 Re-release,"$422,622","$422,622",100%,-,-
362,The Cold Blue,"$420,177","$420,177",100%,-,-
363,The Reliant,"$408,747","$408,747",100%,-,-
364,"Hello, Dolly!","$400,881","$400,881",100%,-,-
365,The Shawshank Redemption 2019 Re-release,"$387,095","$358,507",92.6%,"$28,588",7.4%
366,The Wedding Guest,"$386,166","$386,166",100%,-,-
367,The Secret World of Arrietty 2019 Re-release,"$384,289","$384,289",100%,-,-
368,Great Performances at the Met: Puccini: Turandot,"$375,295",-,-,"$375,295",100%
369,Ghostbusters 2019 Re-release,"$369,612","$369,612",100%,-,-
370,INXS: Baby Live at Wembly Stadium,"$366,425","$161,750",44.1%,"$204,675",55.9%
371,Lords of Chaos,"$365,353","$253,184",69.3%,"$112,169",30.7%
372,Clemency,"$364,716","$364,716",100%,-,-
373,The Tobacconist,"$360,996",-,-,"$360,996",100%
374,K-12,"$359,377","$303,230",84.4%,"$56,147",15.6%
375,The Tomorrow Man,"$354,103","$354,103",100%,-,-
376,Star Trek: The Motion Picture 2019 Re-release,"$346,243","$346,243",100%,-,-
377,Triple Threat,"$345,900","$76,289",22.1%,"$269,611",77.9%
378,Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,"$338,632","$271,489",80.2%,"$67,143",19.8%
379,First Love,"$336,756","$218,329",64.8%,"$118,427",35.2%
380,Diane,"$336,166","$336,166",100%,-,-
381,Freaks,"$335,050","$276,591",82.6%,"$58,459",17.4%
382,Anthropocene: The Human Epoch,"$334,162","$104,806",31.4%,"$229,356",68.6%
383,A Silent Voice: The Movie 2019 Re-release,"$333,984","$333,984",100%,-,-
384,"A White, White Day","$333,928",-,-,"$333,928",100%
385,The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,"$328,979","$328,979",100%,-,-
386,Lucy in the Sky,"$325,950","$319,976",98.2%,"$5,974",1.8%
387,Sword of Trust,"$323,369","$322,421",99.7%,$948,0.3%
388,Woodstock,"$320,610","$126,562",39.5%,"$194,048",60.5%
389,Cunningham,"$320,293","$265,102",82.8%,"$55,191",17.2%
390,Meeting Gorbachev,"$319,230","$251,837",78.9%,"$67,393",21.1%
391,You Are Here: A Come From Away Story,"$318,885","$318,885",100%,-,-
392,Ask Dr. Ruth,"$318,230","$297,195",93.4%,"$21,035",6.6%
393,Josh Groban Bridges Live from Madison Square Garden,"$315,173","$315,173",100%,-,-
394,Plácido Domingo Gala,"$311,246","$52,502",16.9%,"$258,744",83.1%
395,The Third Wife,"$305,755","$84,933",27.8%,"$220,822",72.2%
396,Cliffs of Freedom,"$300,842","$72,476",24.1%,"$228,366",75.9%
397,Shakira in Concert: El Dorado World Tour,"$294,677","$271,586",92.2%,"$23,091",7.8%
398,Beats,"$294,612",-,-,"$294,612",100%
399,The Giant Spider Invasion,"$293,053","$293,053",100%,-,-
400,The Zoya Factor,"$289,631","$128,831",44.5%,"$160,800",55.5%
401,Saga of Tanya the Evil - The Movie,"$288,460","$288,460",100%,-,-
402,Khalid: Free Spirit,"$284,229","$284,229",100%,-,-
403,Mike Wallace Is Here,"$281,245","$281,245",100%,-,-
404,Octaman,"$280,710","$280,710",100%,-,-
405,Bolshoi Ballet: The Golden Age,"$277,666","$171,916",61.9%,"$105,750",38.1%
406,See You Soon,"$277,126",-,-,"$277,126",100%
407,True Grit 2019 Re-release,"$276,418","$276,418",100%,-,-
408,Slayer: The Repentless Killogy,"$272,874","$268,727",98.5%,"$4,147",1.5%
409,One Child Nation,"$271,841","$270,128",99.4%,"$1,713",0.6%
410,Luzia: Cirque du Soleil in Cinema,"$265,673","$265,673",100%,-,-
411,Out of Liberty,"$265,279","$265,279",100%,-,-
412,Asbury Park: Riot Redemption Rock 'n Roll,"$264,983","$167,684",63.3%,"$97,299",36.7%
413,Her Smell,"$260,481","$255,599",98.1%,"$4,882",1.9%
414,Star Raiders: The Adventures of Saber Raine,"$260,234","$260,234",100%,-,-
415,The Cave,"$258,921","$62,625",24.2%,"$196,296",75.8%
416,I Got the Hook Up 2,"$252,293","$252,293",100%,-,-
417,Canal Street,"$251,917","$251,917",100%,-,-
418,The Twilight Zone: A 60th Anniversary Celebration,"$248,514","$248,514",100%,-,-
419,Doctor Who: The End of Time: Part One,"$247,798","$247,798",100%,-,-
420,American Woman,"$245,416","$236,637",96.4%,"$8,779",3.6%
421,Out of Blue,"$242,847","$18,779",7.7%,"$224,068",92.3%
422,Play the Flute,"$241,251","$241,251",100%,-,-
423,311 Enlarged to Show Detail 3,"$238,791","$238,791",100%,-,-
424,Varda by Agnès,"$235,699","$160,765",68.2%,"$74,934",31.8%
425,India's Most Wanted,"$235,351","$176,858",75.1%,"$58,493",24.9%
426,Premier Boxing Champions: PBC on FOX: Spence vs. Porter,"$232,973","$232,973",100%,-,-
427,DAZN Boxing: Canelo Alvarez vs. Daniel Jacobs,"$230,703","$230,703",100%,-,-
428,Ophelia,"$229,405","$50,722",22.1%,"$178,683",77.9%
429,Mine 9,"$226,421","$226,421",100%,-,-
430,Millennium Actress 2019 Re-release,"$225,250","$225,250",100%,-,-
431,Extra Ordinary,"$223,898","$164,346",73.4%,"$59,552",26.6%
432,Premier Boxing Champions: PBC on FOX PPV: Pacquiao vs. Thurman,"$223,858","$223,858",100%,-,-
433,Never Surrender: A Galaxy Quest Documentary,"$222,971","$222,971",100%,-,-
434,The Karate Kid 2019 Re-release,"$215,447","$215,447",100%,-,-
435,Hamlet 2019 Re-release,"$214,578","$214,578",100%,-,-
436,Tigers Are Not Afraid 2019 Re-release,"$210,138","$175,559",83.5%,"$34,579",16.5%
437,"Faith, Hope & Love","$210,091","$210,091",100%,-,-
438,Kathy Griffin: A Hell of a Story,"$208,907","$208,907",100%,-,-
439,Batman 2019 Re-release,"$207,901","$159,419",76.7%,"$48,482",23.3%
440,The Iron Orchard,"$204,881","$204,881",100%,-,-
441,Working Woman,"$204,727","$64,048",31.3%,"$140,679",68.7%
442,Hesburgh,"$204,709","$204,709",100%,-,-
443,Blink of an Eye,"$201,874","$201,874",100%,-,-
444,Zombi Child,"$200,909","$25,878",12.9%,"$175,031",87.1%
445,Little Joe,"$196,960","$23,862",12.1%,"$173,098",87.9%
446,Family,"$194,601","$194,601",100%,-,-
447,Mr. Klein,"$193,028","$193,028",100%,-,-
448,The Divine Plan,"$190,031","$190,031",100%,-,-
449,Buñuel in the Labyrinth of the Turtles,"$185,675","$36,205",19.5%,"$149,470",80.5%
450,To Dust,"$184,495","$184,495",100%,-,-
451,The River and the Wall,"$183,602","$183,602",100%,-,-
452,Giant Little Ones,"$181,507","$181,507",100%,-,-
453,Rafiki,"$181,316","$137,968",76.1%,"$43,348",23.9%
454,Walking on Water,"$178,119","$102,140",57.3%,"$75,979",42.7%
455,Modest Heroes,"$178,027","$178,027",100%,-,-
456,The Warrior Queen of Jhansi,"$177,289","$177,289",100%,-,-
457,"Iyengar: The Man, Yoga, and the Student's Journey","$176,387","$176,387",100%,-,-
458,Them That Follow,"$172,952","$159,218",92.1%,"$13,734",7.9%
459,Little Woods,"$171,912","$150,010",87.3%,"$21,902",12.7%
460,Palau the Movie,"$171,155","$134,696",78.7%,"$36,459",21.3%
461,Britt-Marie Was Here,"$168,862","$36,549",21.6%,"$132,313",78.4%
462,Bright Ones,"$165,627","$165,627",100%,-,-
463,The Chambermaid,"$164,531","$86,422",52.5%,"$78,109",47.5%
464,Halston,"$163,446","$151,991",93%,"$11,455",7%
465,"Diana Ross: Her Life, Love and Legacy","$160,968","$160,968",100%,-,-
466,Money,"$155,732","$155,732",100%,-,-
467,Before You Know It,"$151,507","$151,507",100%,-,-
468,Jay Myself,"$151,331","$151,331",100%,-,-
469,Glory 2019 Re-release,"$150,801","$150,801",100%,-,-
470,Piercing,"$149,211","$15,856",10.6%,"$133,355",89.4%
471,The Kingmaker,"$148,611","$122,587",82.5%,"$26,024",17.5%
472,Trial by Fire,"$148,504","$148,504",100%,-,-
473,War and Peace,"$148,503","$148,503",100%,-,-
474,Driven,"$147,172",-,-,"$147,172",100%
475,Citizen K,"$145,941","$120,411",82.5%,"$25,530",17.5%
476,Framing John DeLorean,"$145,625","$145,625",100%,-,-
477,Doctor Who: Logopolis,"$143,248","$143,248",100%,-,-
478,Branagh Theatre Live: The Winter's Tale,"$141,143","$141,143",100%,-,-
479,Canelo vs. Kovalev,"$140,820","$140,820",100%,-,-
480,Wilder vs. Ortiz,"$139,207","$139,207",100%,-,-
481,Who Will Write Our History,"$138,868","$138,039",99.4%,$829,0.6%
482,Lynryd Skynyrd: Last of the Street Survivors Farewell Tour,"$137,888","$137,888",100%,-,-
483,Sonchiriya,"$135,413","$86,765",64.1%,"$48,648",35.9%
484,The Other Story,"$135,191","$135,191",100%,-,-
485,Made in Abyss: Journey's Dawn,"$134,194","$134,047",99.9%,$147,0.1%
486,Be Natural: The Untold Story of Alice Guy-Blaché,"$133,603","$115,685",86.6%,"$17,918",13.4%
487,The Wind,"$130,974","$28,252",21.6%,"$102,722",78.4%
488,Mister America,"$130,897","$130,897",100%,-,-
489,Section 375,"$129,916",-,-,"$129,916",100%
490,Paris Is Burning 2019 Re-release,"$125,677","$125,677",100%,-,-
491,This Changes Everything,"$125,348","$64,988",51.8%,"$60,360",48.2%
492,Mary Magdalene 2019 Re-release,"$124,741","$124,741",100%,-,-
493,A Tuba to Cuba,"$124,592","$121,772",97.7%,"$2,820",2.3%
494,Easy Rider 2019 Re-release,"$123,276","$123,276",100%,-,-
495,Tremors,"$121,813","$23,911",19.6%,"$97,902",80.4%
496,Avant qu'on explose,"$119,894","$119,894",100%,-,-
497,Skin,"$116,863",-,-,"$116,863",100%
498,Mob Psycho 100,"$115,766","$115,766",100%,-,-
499,The Woman Who Loves Giraffes,"$113,858","$113,858",100%,-,-
500,Police Story,"$113,164","$113,164",100%,-,-
501,Babylon,"$109,749","$109,749",100%,-,-
502,The Brink,"$106,057","$106,057",100%,-,-
503,Cold Case Hammarskjöld,"$104,965","$104,965",100%,-,-
504,Hotel by the River,"$101,879","$28,354",27.8%,"$73,525",72.2%
505,Those Who Remained,"$101,737",-,-,"$101,737",100%
506,QT8: The First Eight,"$101,616","$51,896",51.1%,"$49,720",48.9%
507,Heavy Water,"$99,503","$55,446",55.7%,"$44,057",44.3%
508,High Strung Free Dance 2019 Re-release,"$98,481","$83,891",85.2%,"$14,590",14.8%
509,Charlie Says,"$98,240","$40,685",41.4%,"$57,555",58.6%
510,Prassthanam,"$97,204","$19,984",20.6%,"$77,220",79.4%
511,Little Monsters,"$97,111",-,-,"$97,111",100%
512,Saint Judy,"$96,212","$78,935",82%,"$17,277",18%
513,A Bigger Splash 2019 Re-release,"$95,826","$95,826",100%,-,-
514,The Final Wish,"$95,215","$25,183",26.4%,"$70,032",73.6%
515,Papi Chulo,"$94,321","$84,703",89.8%,"$9,618",10.2%
516,Mapplethorpe,"$91,002","$91,002",100%,-,-
517,Loopers: The Caddie's Long Walk,"$90,679","$90,679",100%,-,-
518,The Lumber Baron,"$88,336","$88,336",100%,-,-
519,Jim Allison: Breakthrough,"$87,984","$87,984",100%,-,-
520,ECCO,"$86,858","$86,858",100%,-,-
521,Vault,"$86,741","$29,491",34%,"$57,250",66%
522,Skid Row Marathon,"$84,997","$84,997",100%,-,-
523,Woodstock,"$84,440","$84,440",100%,-,-
524,The Disappearance of My Mother,"$83,930","$24,951",29.7%,"$58,979",70.3%
525,Prey,"$82,258",-,-,"$82,258",100%
526,Kind Hearts and Coronets 2019 Re-release,"$80,795","$35,948",44.5%,"$44,847",55.5%
527,Batman Returns 2019 Re-release,"$80,699","$70,642",87.5%,"$10,057",12.5%
528,Ms. Purple,"$80,657","$80,657",100%,-,-
529,Armstrong,"$80,169","$19,740",24.6%,"$60,429",75.4%
530,End of the Century,"$79,607","$66,309",83.3%,"$13,298",16.7%
531,Christ Stopped at Eboli,"$78,736","$78,736",100%,-,-
532,Fast Colour,"$76,916","$76,916",100%,-,-
533,Greener Grass,"$76,045","$51,456",67.7%,"$24,589",32.3%
534,5B,"$72,968","$72,968",100%,-,-
535,Free Trip to Egypt 2019 Re-release,"$71,087","$71,087",100%,-,-
536,Rosie,"$68,490","$6,839",10%,"$61,651",90%
537,Last Year at Marienbad 2019 Re-release,"$68,402","$63,425",92.7%,"$4,977",7.3%
538,¡He matado a mi marido!,"$68,017","$45,777",67.3%,"$22,240",32.7%
539,Being Frank,"$67,343","$67,343",100%,-,-
540,Making Waves: The Art of Cinematic Sound,"$63,998","$53,144",83%,"$10,854",17%
541,"Love, Antosha","$62,900","$50,168",79.8%,"$12,732",20.2%
542,The Mountain,"$61,035","$61,035",100%,-,-
543,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795","$59,795",100%,-,-
544,Notebook,"$56,166",-,-,"$56,166",100%
545,Midnight Family,"$51,712","$42,310",81.8%,"$9,402",18.2%
546,Clinton Road,"$50,400","$50,400",100%,-,-
547,Midnight Traveler,"$50,336","$41,265",82%,"$9,071",18%
548,Free Trip to Egypt,"$49,693","$49,693",100%,-,-
549,The Bounty Killer,"$48,815","$48,815",100%,-,-
550,The Queen,"$47,818","$47,818",100%,-,-
551,The Raft,"$47,269","$39,678",83.9%,"$7,591",16.1%
552,High on the Hog,"$45,696","$45,696",100%,-,-
553,The Proposal,"$45,149","$45,149",100%,-,-
554,Celebration,"$44,898","$22,557",50.2%,"$22,341",49.8%
555,What Is Democracy?,"$44,536","$44,536",100%,-,-
556,Maze 2019 Re-release,"$44,381","$44,381",100%,-,-
557,What You Gonna Do When the World's on Fire?,"$44,290","$4,672",10.5%,"$39,618",89.5%
558,Carmine Street Guitars,"$44,253","$44,253",100%,-,-
559,Slut in a Good Way,"$44,240","$40,513",91.6%,"$3,727",8.4%
560,Our Time,"$42,107","$14,777",35.1%,"$27,330",64.9%
561,Union,"$41,656","$41,656",100%,-,-
562,Why Don't You Just Die!,"$40,995",-,-,"$40,995",100%
563,Aniara,"$40,124","$40,124",100%,-,-
564,Zilla and Zoe,"$39,003","$39,003",100%,-,-
565,Shed of the Dead,"$38,901","$38,901",100%,-,-
566,Batman Forever 2019 Re-release,"$38,387","$38,014",99%,$373,1%
567,Memory: The Origins of Alien,"$37,272","$31,378",84.2%,"$5,894",15.8%
568,The Quiet One,"$37,010","$37,010",100%,-,-
569,The Death of Dick Long,"$36,856","$36,856",100%,-,-
570,Loro,"$35,613","$35,613",100%,-,-
571,Ága,"$35,178","$35,178",100%,-,-
572,Killer Unicorn,"$33,901","$33,901",100%,-,-
573,Moonlight Sonata: Deafness in Three Movements,"$33,823","$33,823",100%,-,-
574,An Acceptable Loss,"$32,427","$32,427",100%,-,-
575,10E,"$32,413","$32,413",100%,-,-
576,Shooting the Mafia,"$32,042","$10,881",34%,"$21,161",66%
577,Desolation Center,"$32,016","$32,016",100%,-,-
578,Gift,"$31,588","$31,588",100%,-,-
579,The Cat Rescuers,"$31,540","$31,540",100%,-,-
580,Buddy,"$31,203","$31,203",100%,-,-
581,Pasolini 2019 Re-release,"$30,757","$30,757",100%,-,-
582,Los Reyes,"$30,418","$30,418",100%,-,-
583,Lionel Richie at Glastonbury,"$30,123","$30,123",100%,-,-
584,The Perfect Race,"$29,644","$29,644",100%,-,-
585,The Ground Beneath My Feet,"$29,251","$29,251",100%,-,-
586,Batman & Robin 2019 Re-release,"$28,793","$28,597",99.3%,$196,0.7%
587,The Load,"$28,410","$28,410",100%,-,-
588,El Norte 2019 Re-release,"$27,920","$27,920",100%,-,-
589,Bauhaus Spirit: 100 Years of Bauhaus,"$27,768","$17,122",61.7%,"$10,646",38.3%
590,"Leaving Home, Coming Home: A Portrait of Robert Frank","$27,073","$27,073",100%,-,-
591,Wrestle,"$26,597","$26,597",100%,-,-
592,Donnybrook,"$26,284","$26,284",100%,-,-
593,Strike,"$24,743","$15,758",63.7%,"$8,985",36.3%
594,Hyenas,"$24,672","$24,672",100%,-,-
595,The Aspern Papers,"$24,554","$9,277",37.8%,"$15,277",62.2%
596,Chasing Einstein,"$24,057","$24,057",100%,-,-
597,Robert the Bruce,"$23,425",-,-,"$23,425",100%
598,Ode to Joy,"$22,594","$17,303",76.6%,"$5,291",23.4%
599,The Sound of Silence,"$21,994","$20,013",91%,"$1,981",9%
600,Wicked Witches,"$21,600","$21,600",100%,-,-
601,Round of Your Life,"$20,941","$20,941",100%,-,-
602,General Magic,"$20,046","$20,046",100%,-,-
603,The Gospel of Eureka,"$20,039","$20,039",100%,-,-
604,Scandalous: The True Story of the National Enquirer,"$18,759","$18,759",100%,-,-
605,Before Stonewall,"$18,724","$18,724",100%,-,-
606,The Return of Martin Guerre 2019 Re-release,"$18,603","$18,603",100%,-,-
607,"Phoenix, Oregon","$18,356","$18,356",100%,-,-
608,The Cranes Are Flying,"$17,923","$17,923",100%,-,-
609,Chained for Life,"$17,431","$17,431",100%,-,-
610,Joseph Pulitzer: Voice of the People,"$16,970","$16,970",100%,-,-
611,Virginia Minnesota,"$16,118","$16,118",100%,-,-
612,Starfish,"$15,849","$15,849",100%,-,-
613,Trinity Seven The Movie 2: Heavens Library & Crimson Lord,"$15,712","$15,712",100%,-,-
614,The Competition 2019 Re-release,"$15,622","$15,622",100%,-,-
615,Stuffed,"$15,532","$15,532",100%,-,-
616,Between the Lines,"$15,383","$15,383",100%,-,-
617,Funan,"$15,152","$15,152",100%,-,-
618,Wrinkles the Clown,"$14,938","$14,938",100%,-,-
619,ZZ Top: That Little Ol' Band from Texas,"$14,879","$14,879",100%,-,-
620,My Son 2019 Re-release,"$14,450","$14,450",100%,-,-
621,Combat Obscura,"$14,242","$14,242",100%,-,-
622,Screwball,"$13,967","$13,967",100%,-,-
623,Genesis,"$13,856","$6,784",49%,"$7,072",51%
624,This One's for the Ladies,"$13,688","$13,688",100%,-,-
625,Rapid Response,"$13,294","$13,294",100%,-,-
626,Off Season,"$12,544","$12,544",100%,-,-
627,Bricked,"$12,201","$12,201",100%,-,-
628,Zen for Nothing,"$12,107","$12,107",100%,-,-
629,Imprisoned,"$12,050","$12,050",100%,-,-
630,Quartet,"$12,042","$12,042",100%,-,-
631,"Cassandro, The Exotico!","$11,897","$11,897",100%,-,-
632,In Like Flynn,"$11,255","$11,255",100%,-,-
633,Made Me Do It,"$11,151","$11,151",100%,-,-
634,Suburban Birds,"$10,997","$10,997",100%,-,-
635,If the Dancer Dances,"$10,912","$10,912",100%,-,-
636,Vision Portraits,"$10,771","$10,771",100%,-,-
637,When Lambs Become Lions,"$10,197","$9,337",91.6%,$860,8.4%
638,Olivia,"$9,934","$9,934",100%,-,-
639,Streetwise,"$9,904","$9,904",100%,-,-
640,The Spanish Prisoner 2019 Re-release,"$9,589","$9,589",100%,-,-
641,Fritz Lang's Indian Epic 2019 re-release,"$9,345","$9,345",100%,-,-
642,A Dark Place,"$9,212",-,-,"$9,212",100%
643,Cracked Up,"$9,197","$9,197",100%,-,-
644,Frantz Fanon: Black Skin White Mask,"$9,025","$9,025",100%,-,-
645,The Meanest Man in Texas,"$8,850","$8,850",100%,-,-
646,That Part Feeling - the Universe of Arvo Part,"$8,812","$8,812",100%,-,-
647,The Dead Center,"$8,320","$8,320",100%,-,-
648,Angels Are Made Of Light,"$7,919","$7,919",100%,-,-
649,This Magnificent Cake!,"$7,888","$7,888",100%,-,-
650,Ghost Fleet,"$7,850","$7,850",100%,-,-
651,The Plagiarists,"$7,768","$7,768",100%,-,-
652,Gregory's Girl,"$7,710","$7,710",100%,-,-
653,I'll Take Your Dead,"$7,692","$7,692",100%,-,-
654,Beloved Beast,"$7,301","$7,301",100%,-,-
655,Dying to Survive 2019 Re-release,"$6,752","$6,752",100%,-,-
656,Under the Eiffel Tower,"$6,291","$6,291",100%,-,-
657,Relaxer,"$6,133","$6,133",100%,-,-
658,Série noire,"$5,633","$5,633",100%,-,-
659,The Miracle of the Little Prince,"$5,553","$5,553",100%,-,-
660,Chokehold,"$5,200","$5,200",100%,-,-
661,The Gliksmans,"$5,166","$5,166",100%,-,-
662,100 Acres of Hell,"$5,152","$5,152",100%,-,-
663,Body at Brighton Rock,"$5,123","$5,123",100%,-,-
664,Chulas Fronteras,"$5,021","$5,021",100%,-,-
665,The Garden,"$5,006","$5,006",100%,-,-
666,Malek,"$4,898","$4,898",100%,-,-
667,I'm Leaving Now,"$4,488","$4,488",100%,-,-
668,SGT. Will Gardner,"$4,405","$4,405",100%,-,-
669,Tito and the Birds,"$4,332","$4,332",100%,-,-
670,The Fate of Lee Khan,"$4,295","$4,295",100%,-,-
671,State Like Sleep,"$4,282","$4,282",100%,-,-
672,La Flor,"$4,032","$4,032",100%,-,-
673,Mother of a Day,"$3,919","$3,919",100%,-,-
674,Wallflower,"$3,801","$3,801",100%,-,-
675,The Wandering Soap Opera,"$3,624","$3,624",100%,-,-
676,Rottentail,"$3,383","$3,383",100%,-,-
677,Chasing Portraits,"$3,076","$3,076",100%,-,-
678,Back to the Fatherland,"$2,697","$2,697",100%,-,-
679,Division 19,"$2,680","$1,699",63.4%,$981,36.6%
680,Joan the Maid 1: The Battles,"$2,562","$2,562",100%,-,-
681,TINY: The Life of Erin Blackwell,"$2,465","$2,465",100%,-,-
682,I Lost Albert 2019 Re-release,"$2,354","$2,354",100%,-,-
683,A German Youth,"$2,343","$2,343",100%,-,-
684,Serendipity,"$2,298","$2,298",100%,-,-
685,Jihadists,"$2,104","$2,104",100%,-,-
686,Jimi Hendrix Electric Church,"$1,818",-,-,"$1,818",100%
687,Game Day,"$1,624","$1,624",100%,-,-
688,The Hours and Times,"$1,273","$1,273",100%,-,-
689,The Untold Story,$790,$790,100%,-,-
690,The Portal,$685,-,-,$685,100%
